configuracao;estrategia;geracoes;tamanho_populacao;taxa_mutacao;arquivo_instancia;tamanho_instancia;custo_obtido;tempo_execucao;tamanho_solucao;geracao_melhor_solucao;elementos_solucao
PADRAO;random;10000;100;0.0100;instance-01.txt;25;151.00;477.59;14;8;0 1 2 7 8 9 10 11 13 14 15 17 19 24
PADRAO+POP;random;10000;200;0.0100;instance-01.txt;25;151.00;947.00;14;21;0 1 2 7 8 9 10 11 13 14 15 17 19 24
PADRAO+MUT;random;10000;100;0.0500;instance-01.txt;25;152.00;529.51;11;32;0 2 3 8 10 11 13 15 18 23 24
PADRAO+EVOL1;lhc;10000;100;0.0100;instance-01.txt;25;152.00;472.60;11;27;0 2 3 8 10 11 13 15 18 23 24
PADRAO+EVOL2;random+adaptive;10000;100;0.0100;instance-01.txt;25;152.00;522.69;11;543;0 2 3 8 10 11 13 15 18 23 24
PADRAO;random;10000;100;0.0100;instance-02.txt;25;257.00;453.95;16;21;2 4 5 8 9 10 11 12 15 18 19 20 21 22 23 24
PADRAO+POP;random;10000;200;0.0100;instance-02.txt;25;257.00;894.30;16;11;2 4 5 8 9 10 11 12 15 18 19 20 21 22 23 24
PADRAO+MUT;random;10000;100;0.0500;instance-02.txt;25;257.00;511.34;16;34;2 4 5 8 9 10 11 12 15 18 19 20 21 22 23 24
PADRAO+EVOL1;lhc;10000;100;0.0100;instance-02.txt;25;257.00;450.39;16;16;2 4 5 8 9 10 11 12 15 18 19 20 21 22 23 24
PADRAO+EVOL2;random+adaptive;10000;100;0.0100;instance-02.txt;25;257.00;510.09;16;126;2 4 5 8 9 10 11 12 15 18 19 20 21 22 23 24
PADRAO;random;10000;100;0.0100;instance-03.txt;25;224.00;443.10;14;13;1 2 3 5 8 9 10 12 13 15 18 19 22 23
PADRAO+POP;random;10000;200;0.0100;instance-03.txt;25;224.00;907.89;14;13;1 2 3 5 8 9 10 12 13 15 18 19 22 23
PADRAO+MUT;random;10000;100;0.0500;instance-03.txt;25;224.00;529.00;14;20;1 2 3 5 8 9 10 12 13 15 18 19 22 23
PADRAO+EVOL1;lhc;10000;100;0.0100;instance-03.txt;25;224.00;474.07;14;50;1 2 3 5 8 9 10 12 13 15 18 19 22 23
PADRAO+EVOL2;random+adaptive;10000;100;0.0100;instance-03.txt;25;224.00;541.18;14;67;1 2 3 5 8 9 10 12 13 15 18 19 22 23
PADRAO;random;10000;100;0.0100;instance-04.txt;50;561.00;1800.19;31;337;0 2 3 5 6 7 8 9 10 11 12 14 20 22 24 26 27 29 34 35 36 37 38 40 41 42 43 45 46 48 49
PADRAO+POP;random;10000;200;0.0100;instance-04.txt;50;561.00;1801.14;31;83;0 2 3 5 6 7 8 9 10 11 12 14 20 22 24 26 27 29 34 35 36 37 38 40 41 42 43 45 46 48 49
PADRAO+MUT;random;10000;100;0.0500;instance-04.txt;50;552.00;1800.73;34;2594;0 2 3 5 7 8 9 10 11 12 14 20 21 22 24 26 27 28 29 30 34 35 36 37 38 40 41 42 43 44 45 46 48 49
PADRAO+EVOL1;lhc;10000;100;0.0100;instance-04.txt;50;561.00;1707.55;31;337;0 2 3 5 6 7 8 9 10 11 12 14 20 22 24 26 27 29 34 35 36 37 38 40 41 42 43 45 46 48 49
PADRAO+EVOL2;random+adaptive;10000;100;0.0100;instance-04.txt;50;561.00;1800.99;31;6477;0 2 3 5 6 7 8 9 10 11 12 14 20 22 24 26 27 29 34 35 36 37 38 40 41 42 43 45 46 48 49
PADRAO;random;10000;100;0.0100;instance-05.txt;50;530.00;1801.66;31;49;0 1 2 5 9 11 12 13 15 16 18 19 23 24 25 27 29 30 31 33 34 35 36 37 38 40 41 44 45 46 47
PADRAO+POP;random;10000;200;0.0100;instance-05.txt;50;530.00;1800.52;31;64;0 1 2 5 9 11 12 13 15 16 18 19 23 24 25 27 29 30 31 33 34 35 36 37 38 40 41 44 45 46 47
PADRAO+MUT;random;10000;100;0.0500;instance-05.txt;50;530.00;1800.86;31;6049;0 1 2 5 9 11 12 13 15 16 18 19 23 24 25 27 29 30 31 33 34 35 36 37 38 40 41 44 45 46 47
PADRAO+EVOL1;lhc;10000;100;0.0100;instance-05.txt;50;530.00;1657.60;31;104;0 1 2 5 9 11 12 13 15 16 18 19 23 24 25 27 29 30 31 33 34 35 36 37 38 40 41 44 45 46 47
PADRAO+EVOL2;random+adaptive;10000;100;0.0100;instance-05.txt;50;530.00;1801.04;31;3087;0 1 2 5 9 11 12 13 15 16 18 19 23 24 25 27 29 30 31 33 34 35 36 37 38 40 41 44 45 46 47
PADRAO;random;10000;100;0.0100;instance-06.txt;50;682.00;1661.01;31;35;0 2 3 4 6 7 8 10 12 14 15 16 17 19 20 23 26 28 29 31 35 36 37 39 40 41 42 43 45 46 49
PADRAO+POP;random;10000;200;0.0100;instance-06.txt;50;691.00;1803.34;33;57;2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 23 26 28 30 31 35 36 37 38 41 42 43 45 46 49
PADRAO+MUT;random;10000;100;0.0500;instance-06.txt;50;691.00;1801.76;33;313;2 3 4 6 7 8 9 10 12 13 14 15 16 17 18 19 20 23 26 30 31 35 36 37 38 39 41 42 43 45 46 47 49
PADRAO+EVOL1;lhc;10000;100;0.0100;instance-06.txt;50;691.00;1664.28;34;136;2 3 4 6 7 8 9 10 12 13 14 15 16 17 18 19 20 23 26 28 30 31 35 36 37 38 39 41 42 43 45 46 47 49
PADRAO+EVOL2;random+adaptive;10000;100;0.0100;instance-06.txt;50;691.00;1800.25;34;2986;2 3 4 6 7 8 9 10 12 13 14 15 16 17 18 19 20 23 26 28 30 31 35 36 37 38 39 41 42 43 45 46 47 49
PADRAO;random;10000;100;0.0100;instance-07.txt;100;2139.00;1806.59;67;179;0 1 2 3 4 6 8 9 10 11 13 14 15 18 19 20 21 22 25 26 28 29 30 31 32 33 34 35 37 38 41 44 46 47 50 51 52 53 55 56 57 58 59 62 64 65 67 68 70 72 73 74 75 77 80 83 84 85 86 87 91 92 93 94 95 96 99
PADRAO+POP;random;10000;200;0.0100;instance-07.txt;100;2157.00;1808.69;66;258;0 1 2 3 4 6 8 9 11 13 14 15 16 17 18 19 20 21 22 25 26 27 28 29 30 32 33 34 35 38 41 44 46 47 50 51 52 53 55 56 57 58 59 62 64 65 67 70 72 73 74 75 77 78 80 83 84 86 87 90 91 92 94 95 96 99
PADRAO+MUT;random;10000;100;0.0500;instance-07.txt;100;1961.00;1802.95;66;1518;0 1 2 3 6 8 9 11 12 14 15 18 19 20 21 22 23 25 27 28 29 30 32 33 34 35 38 39 41 44 47 50 51 52 53 55 56 57 58 59 62 64 65 67 68 70 72 73 74 76 77 78 80 83 84 85 86 87 88 89 91 92 94 95 97 99
